#Table: J/MNRAS/352/1439/table1.dat (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------------------------------------------
          |f|              |      |             |      |            |  |    |     |     |    |     |
          |_|              |      |             |      |            |  |    |     |     |    |     |
          |P|              |      |             |      |            |  |    |     |     |    |     |
          |S|              |      |             |      |            |  |    |     |     |    |     |
          |R| R  R         |      |  D  D       |      |            |Be|   b|     |     |  e_|     |
PSRJ      |J|Ah Am      RAs| e_RAs| Ed Em    DEs| e_DEs|  GLON  GLAT|am|Dist|  S/N| S1.4|S1.4|  W50|W10
----------|-|--------------|------|-------------|------|------------|--|----|-----|-----|----|-----|---
0843-5022 | |08 43 09.884  |.00800|-50 22 43.10 |  .080|268.50 -4.90| 7|0.46| 31.6|0.31 |.040|  6.1| 29
1016-5857 | |10 16 21.16   |.10000|-58 57 12.1  |  .100|284.08 -1.88| 3|0.74| 22.3|0.46 |.050|  7.8|  -
1021-5601 | |10 21 24.82   |.15000|-56 01 50.9  | 1.100|283.04  0.94| 7|0.77| 21.8|0.37 |.050| 52.0|  -
1032-5206 | |10 32 27.69   |.07000|-52 06 08.5  |  .600|282.35  5.13|11|0.64| 34.7|0.19 |.030| 21.0| 71
1052-6348 | |10 52 53.39   |.06000|-63 48 16.6  |  .300|290.29 -3.88| 3|0.49|  9.5|0.11 |.020| 10.0|  -
1054-6452 | |10 54 08.84   |.16000|-64 52 37.5  |  .800|290.89 -4.78| 8|1.00| 22.2|0.25 |.040| 22.0| 42
1055-6022 | |10 55 48.5    |.40000|-60 22 52.   | 3.000|289.11 -0.65|13|0.90| 10.9|0.16 |.030| 23.0|  -
1106-6438 | |11 06 28.44   |.14000|-64 38 60.0  |  .600|291.99 -4.03|10|0.63| 23.4|0.19 |.030| 27.0| 46
1152-5800 | |11 52 10.0    |.40000|-58 00 34.   | 4.000|295.13  3.96| 5|0.71| 10.2|0.12 |.020| 16.0|  -
1156-5707 | |11 56 07.45   |.04000|-57 07 01.9  |  .500|295.45  4.95| 7|0.76| 14.1|0.19 |.030|  4.8| 17
1210-6550 | |12 10 42.0    |.30000|-65 50 04.6  | 1.900|298.77 -3.29|11|0.91| 15.5|0.17 |.030| 39.0|  -
1337-6306 | |13 37 20.35   |.05000|-63 06 23.3  |  .300|308.10 -0.70| 1|0.82|  8.7|0.11 |.020| 12.0|  -
1352-6803 | |13 52 34.44   |.03000|-68 03 36.79 |  .190|308.61 -5.87|12|1.77| 17.4|0.68 |.080| 28.0| 45
1415-6621 | |14 15 31.27   |.03000|-66 21 12.2  |  .300|311.23 -4.85| 6|0.18| 97.8|0.71 |.080|  8.9| 17
1420-5625 | |14 20 03.062  |.00300|-56 25 55.00 |  .030|315.00  4.35| 8|0.86| 12.3|0.13 |.020|  1.3| 12
1424-5556 | |14 24 12.76   |.03000|-55 56 13.9  |  .300|315.72  4.61| 6|0.65| 40.3|0.38 |.050| 22.0| 36
1435-5954 | |14 35 00.36   |.05000|-59 54 49.2  |  .300|315.58  0.39| 1|0.75| 96.1|3.6  |.400| 19.0| 33
1437-6146 | |14 37 15.31   |.09000|-61 46 02.0  |  .800|315.10 -1.42|13|0.43| 19.4|0.24 |.030| 17.0|  -
1502-5653 | |15 02 57.389  |.01100|-56 53 39.21 |  .120|320.19  1.51| 3|0.74| 46.3|0.39 |.050|  7.2| 14
1519-6308 | |15 19 09.56   |.18000|-63 08 19.5  |  .100|318.74 -4.90| 1|0.55| 45.0|0.32 |.040| 22.0|  -
1538-5551 | |15 38 45.03   |.04000|-55 51 36.9  |  .600|324.91 -0.30| 1|0.87| 10.6|0.25 |.040| 11.0|  -
1542-5133 | |15 42 19.93   |.13000|-51 33 35.   | 3.000|327.91  2.83| 7|0.97| 19.7|0.27 |.040| 35.0| 59
1547-5750 | |15 47 30.60   |.10000|-57 50 29.4  | 1.500|324.66 -2.60|11|0.20| 27.3|0.23 |.030| 39.0|  -
1551-5310 | |15 51 41.25   |.06000|-53 10 59.6  |  .800|328.03  0.67| 5|0.97| 18.2|0.54 |.060| 62.0|  -
1609-4616 | |16 09 41.13   |.04000|-46 16 22.5  |  .400|334.76  3.99|12|0.28| 36.6|0.38 |.050|  5.6|  9
