#Table: J/MNRAS/353/1311/table6.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------
           |f|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |_|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |P|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |S|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |R|         |           |        |           |         |      |  e_p|       |    e_|      |    e|       |      |    |       |    |
PSRJ       |J|PSRB     |       ELON|  e_ELON|       ELAT|   e_ELAT|pmELON|mELON| pmELAT|pmELAT|  pmRA|_pmRA|   pmDE|e_pmDE|NTOA|  Epoch|Span| tRMS
-----------|-|---------|-----------|--------|-----------|---------|------|-----|-------|------|------|-----|-------|------|----|-------|----|-----
J0014+4746 | |B0011+47 | 26.40326  |.0001200|+41.51013  |0.0001100|-136. | 90. |    7. |  98. |-119. |103. |  -66. |  84. | 221|49664.0|16.1| 2831
J0034-0534 | |         |  5.672420 |.0000030| -8.528411 |0.0000120|   4. |  3. |  -23. |  12. |  13. |  6. |  -19. |  11. | 413|50690.0|10.5|   60
J0034-0721 | |B0031-07 |  4.90017  |.0000400|-10.14680  |0.0001900|  -8. | 12. |   22. |  58. | -16. | 26. |   17. |  53. | 673|46635.0|32.8| 2211
J0040+5716 | |B0037+56 | 38.406995 |.0000170|+47.222891 |0.0000160|  -3. | 12. |    3. |  16. |  -4. | 15. |    0. |  13. | 318|49667.0|16.2|  525
J0048+3412 | |B0045+33 | 25.35747  |.0000700|+26.52166  |0.0001100|  73. | 82. |  -44. | 139. |  85. |107. |   -7. | 121. | 108|49875.0|15.0| 1286
J0055+5117 | |B0052+51 | 36.46853  |.0000300|+40.99626  |0.0000300|   9. | 17. |  -39. |  25. |  28. | 21. |  -29. |  21. | 332|49664.0|16.1|  750
J0056+4756 | |B0053+47 | 34.41337  |.0000600|+38.03833  |0.0000700|-157. | 57. |   26. |  83. |-149. | 72. |  -54. |  71. | 157|49872.0|15.0| 1195
J0102+6537 | |B0059+65 | 49.43759  |.0000400|+52.31772  |0.0000300|  32. | 21. |   45. |  33. |  -3. | 28. |   55. |  26. | 287|49675.0|16.2|  940
J0108+6608 | |B0105+65 | 50.73247  |.0001100|+52.35381  |0.0000900|      |     |       |      |      |     |       |      | 332|50011.0|14.4| 4133
J0108+6905 | |B0105+68 | 53.92357  |.0000500|+54.61912  |0.0000300|  18. | 27. |   28. |  34. |  -5. | 32. |   33. |  30. | 190|49875.0|15.0| 1030
J0108-1431 | |         |  9.83071  |.0001200|-20.0590   |0.0003000|      |     |       |      |      |     |       |      | 190|50889.0| 9.6| 2884
J0117+5914 | |B0114+58 | 45.902915 |.0000070|+46.123604 |0.0000070|   7. |  5. |   17. |   6. |  -3. |  6. |   18. |   5. | 405|49751.0|15.8|  267
J0134-2937 | |         |  8.735130 |.0000060|-36.284478 |0.0000060|   7. |  7. |  -18. |   9. |  14. |  7. |  -13. |   9. | 216|50846.0| 9.9|   99
J0139+5814 | |B0136+57 | 48.558825 |.0000100|+43.803918 |0.0000110|      |     |       |      |      |     |       |      | 601|49289.0|18.3|  516
J0141+6009 | |B0138+59 | 50.280814 |.0000200|+45.306677 |0.0000200|   6. | 12. |   -9. |  17. |  10. | 14. |   -5. |  15. | 427|49293.0|18.3|  882
J0147+5922 | |B0144+59 | 50.651904 |.0000040|+44.237818 |0.0000050|  -4. |  3. |   14. |   4. | -10. |  3. |   10. |   4. | 390|49677.0|16.2|  127
J0151-0635 | |B0148-06 | 23.39919  |.0000400|-16.84395  |0.0001100|   3. | 30. |  -43. |  92. |  19. | 42. |  -39. |  87. | 310|49347.0|18.0| 1261
J0152-1637 | |B0149-16 | 19.500833 |.0000070|-26.218389 |0.0000130| -13. |  4. |  -29. |   8. |   0. |  4. |  -32. |   7. | 374|48227.0|24.1|  339
J0156+3949 | |B0153+39 | 41.7809   |.0006000|+26.0026   |0.0012000|      |     |       |      |      |     |       |      |  65|49701.0|16.0| 8802
