#Table: J/MNRAS/458/3341/tab2-12.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |           |    |     |     |                |        |                |       |       |     |       |      |                  |        |         |       |    |   |        |     |        |      |         |       |                |           |           |      |           |         |        |       |          |     |         |        |          |    |      |               |       |           |             |      |      |       |       |          |        |        |     |       |     |l|     | |    |
          |           |    |     |     |                |        |                |       |       |     |       |      |                  |        |         |       |    |   |        |     |        |      |         |       |                |           |           |      |           |         |        |       |          |     |         |        |          |    |      |               |       |           |             |      |      |       |       |          |        |        |     |       |     |_|     | |    |
          |           |    |     |     |                |        |                |       |       |     |       |      |                  |        |         |       |    |   |        |     |        |      |         |       |                |           |           |      |           |         |        |       |          |     |         |        |          |    |      |               |       |           |             |      |      |       |       |          |        |        |     |       |     |A|     |l|    |
          |           |   N|     |    E| R  R           |        |  D  D          |       |       |    e|       |      |                  |        |         |       |    | e_|        |     |        |      |         |       |                |           |           |      |           |         |        |      e|          |     |         |        |          |   E|      |               |       |           |             |      |      |      d|    e_d|          |       e|        |e_dP/|      d|e_dP/|g|     |_|    |   M
PSR       | MJD1  MJD2|TOAs|  rms|pochR|Ah Am        RAs|   e_RAs| Ed Em       DEs|  e_DEs|   pmRA|_pmRA|   pmDE|e_pmDE|               Per|   e_Per|    dP/dt|e_dP/dt| plx|plx|      DM| e_DM|     DM1| e_DM1|      DM2|  e_DM2|              Pb|       e_Pb|         T0|  e_T0|          x|      e_x|  Omega0|_Omega0|         e|  e_e|    kappa| e_kappa|       eta|_eta| e_eta|            Tan|  e_Tan| GLON  GLAT|   d   E_  e_|   CPM| e_CPM|P/dtSHK|P/dtSHK|   dP/dtKZ|_dP/dtKZ|dP/dtDGR|dtDGR|P/dtInt|dtInt|e|  Age|B|   B|2min
----------|-----------|----|-----|-----|----------------|--------|----------------|-------|-------|-----|-------|------|------------------|--------|---------|-------|----|---|--------|-----|--------|------|---------|-------|----------------|-----------|-----------|------|-----------|---------|--------|-------|----------|-----|---------|--------|----------|----|------|---------------|-------|-----------|-------------|------|------|-------|-------|----------|--------|--------|-----|-------|-----|-|-----|-|----|----
J0030+0451|51275-56779| 907| 4.1 |55000|00 30 27.42836  |.00006  |+04 51 39.707   |.003   | -5.9  | .5  | -0.2  | 1.1  | 4.86545328635201 | 190E-15| 1.0172  |.0003  |2.79|.23|  4.329 |.006 | 0.0007 |.0005 | 0.0001  |.0001  |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |---            |       |113.1 -57.6| 354+  31- 27| 5.9  |  .5  |0.015  | .003  |-0.078    |.007    |-0.0030 |.0003| 1.084 | .006| | 7.1 | | 2.3|---
J0034-0534|51770-56705| 276| 4.0 |55000|00 34 21.83422  |.00008  |-05 34 36.722   |.003   |  7.9  | .3  | -9.2  |  .6  | 1.87718188583171 | 100E-15| 0.49784 |.00013 |--- |   | 13.7658|.0019|-0.0001 |.0001 |-0.000030|.000017|  1.58928182532 |    140E-12|48766.98   |.04   | 1.4377662 |.0000005 |313.    | 9.    |4.3E-6    |7E-6 |-3.1E-6  |7E-6    |3.0E-6    |    |  6E-6|48765.5995019  | 500E-9|111.5 -68.1|---          |12.1  |  .5  |0.036  |       |-0.056    |        |-0.00086|     | 0.518 |     | | 5.7 | | 1.0|0.13
J0218+4232|50370-56786|1196| 7.4 |55000|02 18 06.357299 |.000019 |+42 32 17.3821  |.0004  |  5.31 | .07 | -3.15 |  .13 | 2.32309053151224 |  80E-15| 7.73955 |.00007 |--- |   | 61.2488|.0017|-0.0003 |.0002 | 0.000056|.000020|  2.02884611561 |     90E-12|49150.883  |.016  | 1.9844344 |.0000004 | 49.    | 3.    |6.8E-6    |4E-6 |5.1E-6   |4E-6    |4.5E-6    |    |  4E-6|49150.6089170  | 300E-9|139.5 -17.5|---          | 6.18 |  .09 |0.057  |       |-0.034    |        | 0.013  |     | 7.7   |     | | 0.48| | 4.3|0.16
J0610-2100|54270-56791|1034| 4.9 |55000|06 10 13.595462 |.000017 |-21 00 27.9313  |.0004  |  9.0  | .1  | 16.78 |  .12 | 3.861324766195   |3000E-15| 1.2298  |.0019  |--- |   | 60.67  |.03  |-0.014  |.008  | 0.002   |.001   |  0.2860160068  |    600E-12|52814.303  |.013  | 0.0734891 |.0000004 | 67.    |16.    |2.9E-5    |8E-5 |2.7E-5   |8E-5    |1.2E-5    |    |  8E-5|52814.249581   |3000E-9|227.7 -18.2|---          |19.05 |  .11 |1.2    |       |-0.082    |        | 0.011  |     | 0.0955|     | |64.0 | | 0.6|0.02
