Table 1 
Positions^a


PSR	Ecliptic Coordinates			Equatorial Coordinates		Epoch (MJD)^b	
							
	lambda (deg)	beta (deg)		alpha (hh:mm:ss)	delta (dd:mm:ss)		
J0023+0923	9.07039784(4)	6.3091086(3)		00:23:16.87910(3)	09:23:23.871(1)	56179	
J0030+0451	8.91035630(1)	1.4456962(5)		00:30:27.42826(5)	04:51:39.711(2)	54997	
J0340+4130	62.61406221(5)	21.3344746(2)		03:40:23.28818(2)	41:30:45.2903(5)	56279	
J0613-0200	93.79900655(2)	-25.40713269(4)		06:13:43.975631(3)	-02:00:47.2223(1)	54890	
J0645+5158	98.05854629(3)	28.85264422(3)		06:45:59.081898(9)	51:58:14.9208(1)	56143	
J0931-1902	152.376967(2)	-31.776719(2)		09:31:19.1180(4)	-19:02:55.015(6)	56469	
J1012+5307	133.3610921(1)	38.7553210(2)		10:12:33.43745(6)	53:07:02.3071(7)	54902	
J1024-0719	160.73435621(2)	-16.04470826(8)		10:24:38.670189(9)	-07:19:19.5396(3)	55800	
J1455-3330	231.34753657(5)	-16.0447988(2)		14:55:47.97069(2)	-33:30:46.3833(6)	55500	
J1600-3053	244.347677636(9)	-10.07183655(5)		16:00:51.903261(4)	-30:53:49.3830(2)	55416	
J1614-2230	245.78829040(1)	-1.2567952(5)		16:14:36.50708(2)	-22:30:31.233(2)	55655	
J1640+2224	243.98908853(2)	44.05852004(2)		16:40:16.744825(3)	22:24:08.84178(6)	54971	
J1643-1224	251.08721841(6)	9.7783298(4)		16:43:38.16140(2)	-12:24:58.676(1)	54902	
J1713+0747	256.668693195(2)	30.700361575(4)		17:13:49.5331505(5)	07:47:37.49284(2)	54971	
J1738+0333	264.09490912(9)	26.8842354(1)		17:38:53.96744(2)	03:33:10.8824(5)	55800	
J1741+1351	264.36467815(3)	37.21119890(4)		17:41:31.144770(5)	13:51:44.12241(15)	56176	
J1744-1134	266.11939556(1)	11.80520366(6)		17:44:29.407190(3)	-11:34:54.6925(2)	54900	
J1747-4036	267.57913419(5)	-17.2015392(2)		17:47:48.71665(1)	-40:36:54.7795(7)	56281	
J1832-0836	278.2920105(1)	14.59073(1)		18:32:27.5936(2)	-08:36:54.98(4)	56475	
J1853+1303	286.25730609(3)	35.74335172(8)		18:53:57.318423(7)	13:03:44.0596(3)	56155	
B1855+09	286.86348933(2)	32.32148776(3)		18:57:36.390614(4)	09:43:17.2075(1)	54978	
J1903+0327	287.5625804(1)	25.9379873(3)		19:03:05.79287(3)	03:27:19.194(1)	55712	
J1909-3744	284.220863589(4)	-15.15549085(2)		19:09:47.434674(1)	-37:44:14.46667(7)	54500	
J1910+1256	291.04141433(5)	35.10722400(7)		19:10:09.70147(1)	12:56:25.4727(2)	55741	
J1918-0642	290.31464011(2)	15.35106344(7)		19:18:48.033256(5)	-06:42:34.8877(3)	54901	
J1923+2515	297.98095593(9)	46.6962061(1)		19:23:22.49331(2)	25:15:40.6164(5)	56100	
B1937+21	301.97324443(1)	42.29675249(1)		19:39:38.561227(2)	21:34:59.12567(5)	54931	
J1944+0907	299.99545059(3)	29.89102681(8)		19:44:09.329903(7)	09:07:23.0362(3)	56176	
J1949+3106	308.657405(2)	50.930913(2)		19:49:29.6379(4)	31:06:03.795(5)	56367	
B1953+29	309.6913457(3)	48.6845469(2)		19:55:27.87546(5)	29:08:43.4464(5)	56176	
J2010-1323	301.92448717(2)	6.4909501(1)		20:10:45.920937(8)	-13:23:56.0755(5)	55657	
J2017+0603	308.26117978(7)	25.0444945(1)		20:17:22.70503(1)	06:03:05.5686(4)	56200	
J2043+1711	318.86848854(1)	33.96432619(3)		20:43:20.882230(3)	17:11:28.92694(9)	56175	
J2145-0750	326.02462112(3)	5.3130554(3)		21:45:50.46089(3)	-07:50:18.491(1)	54903	
J2214+3000	348.8091355(8)	37.7131533(9)		22:14:38.85097(2)	30:00:38.1976(2)	56222	
J2302+4442	9.7804392(2)	45.66543639(7)		23:02:46.97878(3)	44:42:22.0928(3)	56279	
J2317+1439	356.12940547(2)	17.68023064(7)		23:17:09.236644(9)	14:39:31.2557(2)	54977	
Notes.
^a Numbers in parentheses are uncertainties in last digits quoted.
^b Epoch of position is an exact integer MJD; e.g., 56719 means 56719.000000.
