Table 4 
Positions and Proper Motions in Equatorial Coordinates


Pulsar	alpha	delta	${\mu }_{\alpha }\equiv \dot{\alpha }\cos \delta $	mu_delta	Epoch	
			(mas yr^-1)	(mas yr^-1)	(MJD)	
J0023+0923	00:23:16.87821(1)	09:23:23.8646(3)	-12.6(2)	-5.8(3)	56567.000	
J0030+0451	00:30:27.42785(4)	04:51:39.711(1)	-6.2(1)	0.5(3)	55390.000	
J0340+4130	03:40:23.28816(1)	41:30:45.2862(3)	-0.5(1)	-3.3(3)	56675.000	
J0613-0200	06:13:43.975825(4)	-02:00:47.2372(1)	1.85(2)	-10.35(4)	55413.000	
J0636+5128	06:36:04.847128(6)	51:28:59.9609(1)	3.5(2)	-2.3(2)	57002.000	
J0645+5158	06:45:59.082079(5)	51:58:14.91290(6)	1.53(4)	-7.41(6)	56534.000	
J0740+6620	07:40:45.79492(2)	66:20:33.5593(2)	-10.3(2)	-31.0(2)	57017.000	
J0931-1902	09:31:19.11739(1)	-19:02:55.0282(3)	-2.4(2)	-4.4(4)	56864.000	
J1012+5307	10:12:33.43776(1)	53:07:02.2801(1)	2.66(3)	-25.50(4)	55291.000	
J1024-0719	10:24:38.667358(6)	-07:19:19.5974(2)	-35.29(6)	-48.2(1)	56239.000	
J1125+7819	11:25:59.8485(1)	78:19:48.7161(3)	28.3(8)	-1.(1)	57017.000	
J1453+1902	14:53:45.71922(3)	19:02:12.1270(8)	0.3(7)	-11.(2)	56936.000	
J1455-3330	14:55:47.97035(2)	-33:30:46.3818(6)	7.98(8)	-2.0(2)	55293.000	
J1600-3053	16:00:51.903178(3)	-30:53:49.3919(1)	-0.98(2)	-7.10(6)	55885.000	
J1614-2230	16:14:36.50741(2)	-22:30:31.265(1)	3.8(1)	-32.5(7)	56047.000	
J1640+2224	16:40:16.745013(3)	22:24:08.82970(6)	2.08(1)	-11.33(2)	55366.000	
J1643-1224	16:43:38.16189(2)	-12:24:58.671(2)	5.9(1)	3.7(5)	55330.000	
J1713+0747	17:13:49.5335505(5)	07:47:37.48838(1)	4.926(2)	-3.916(4)	55391.000	
J1738+0333	17:38:53.968032(5)	03:33:10.8893(2)	7.07(5)	5.1(1)	56258.000	
J1741+1351	17:41:31.144731(2)	13:51:44.12188(4)	-8.98(2)	-7.42(2)	56209.000	
J1744-1134	17:44:29.408577(3)	-11:34:54.7022(2)	18.80(1)	-9.29(6)	55292.000	
J1747-4036	17:47:48.71652(4)	-40:36:54.784(2)	-1.3(4)	-2.(1)	56676.000	
J1832-0836	18:32:27.592888(3)	-08:36:55.0115(1)	-7.97(5)	-21.2(2)	56862.000	
J1853+1303	18:53:57.318327(4)	13:03:44.05670(7)	-1.65(4)	-2.89(6)	56553.000	
B1855+09	18:57:36.390442(3)	09:43:17.20167(8)	-2.66(1)	-5.41(2)	55367.000	
J1903+0327	19:03:05.79256(2)	03:27:19.1851(9)	-3.0(2)	-6.0(5)	56258.000	
J1909-3744	19:09:47.432840(1)	-37:44:14.54898(5)	-9.516(4)	-35.77(1)	55339.000	
J1910+1256	19:10:09.701512(6)	12:56:25.4648(1)	0.28(5)	-7.29(7)	56131.000	
J1911+1347	19:11:55.203652(2)	13:47:34.36424(5)	-2.85(6)	-3.54(8)	56936.000	
J1918-0642	19:18:48.032707(3)	-06:42:34.8948(2)	-7.15(2)	-5.97(5)	55330.000	
J1923+2515	19:23:22.492681(4)	25:15:40.59748(9)	-6.96(5)	-14.17(7)	56583.000	
B1937+21	19:39:38.561253(2)	21:34:59.12518(3)	0.073(7)	-0.39(1)	55321.000	
J1944+0907	19:44:09.330945(4)	09:07:23.0118(1)	14.06(4)	-22.73(9)	56570.000	
B1953+29	19:55:27.875424(9)	29:08:43.4415(2)	-1.1(1)	-4.2(2)	56568.000	
J2010-1323	20:10:45.921236(5)	-13:23:56.0854(3)	2.59(5)	-6.0(2)	56235.000	
J2017+0603	20:17:22.705247(5)	06:03:05.5689(2)	2.22(7)	0.1(1)	56682.000	
J2033+1734	20:33:27.51189(2)	17:34:58.4747(3)	-5.9(4)	-9.9(4)	56945.000	
J2043+1711	20:43:20.881730(1)	17:11:28.91265(3)	-5.72(1)	-10.84(2)	56573.000	
J2145-0750	21:45:50.46014(4)	-07:50:18.499(2)	-10.0(2)	-8.0(5)	55322.000	
J2214+3000	22:14:38.85274(1)	30:00:38.1953(2)	20.6(1)	-1.3(1)	56610.000	
J2229+2643	22:29:50.88471(2)	26:43:57.6507(2)	-2.1(6)	-5.7(5)	56937.000	
J2234+0611	22:34:23.074172(5)	06:11:28.6922(2)	25.6(2)	9.4(3)	57026.000	
J2234+0944	22:34:46.85388(1)	09:44:30.2487(3)	6.9(2)	-32.0(4)	56917.000	
J2302+4442	23:02:46.97874(1)	44:42:22.0860(2)	-0.0(1)	-5.9(2)	56675.000	
J2317+1439	23:17:09.236663(8)	14:39:31.2556(2)	-1.36(2)	3.49(4)	54977.000	
Note. Numbers in parentheses are uncertainties in the last digit quoted. Epochs are exact integer dates.
