                                                       MEASURED
        Pulsar        R.A.        Decl.       I       b       u, cos ò        Hs       Cov.     u cos b          Jb       Cov.
    B0011+47....   00 14 17.757   47 46 33.29 116.49 -14.63    19.3+ 1.8   -19.7 + 1.5   0.54    16.1 + 1.9  -22.3 +1.4     0.48
    B0149-16..     01 52 10.858  -16 37 53.22 179.30  -72.45    3.1 +1.2   -27.2 + 2.0  -0.12    23.0 + 1.9  -14.8 + 1.6  -0.47
    B0628-28....   06 30 49.433  -28 34 42.91 236.95  -16.75  -44.6 + 0.9   19.5 + 2.2    0.05   -34.9 + 2.1   -33.9 +1.2   -0.57
    B0736-40....   07 38 32.329  -40 42 40.94 254.19   -9.19  -14.0 + 1.2   12.8 + 2.1   -0.54   -17.9 + 2.2    -6.3 + 1.0   -0.25
    B0756-15....   07 58 29.109  -15 28 09.78 234.46 7.22       1.2 +4.0     3.6 + 5.6  -0.31    -2.4 + 5.7     2.9 + 3.7  -0.15
    B0835-41....   08 37 21.266  -41 35 15.05 260.90   -0.33   -2.3 + 1.8  -17.8 +3.3   -0.59    12.8 +3.4   -12.6 + 1.7   -0.48
    B0919+06....   09 22 14.008   06 38 22.70 225.42 36.39     18.8 +0.9    86.4 + 0.7   0.05   -66.5 + 0.8    58.4 + 0.8   0.09
    B1039-19....   10 41 36.201  -19 42 13.44 265.59   33.59   -1.1 +2.6    14.4 + 4.5   0.15    -9.2+3.1      11.2+4.2    -0.45
    B1114-41...    11 16 43.086  -41 22 43.96 284.45   18.06   -1.4 +4.8     1.1 + 20.3  0.05    -3.9 + 8.6     6.1+ 19.0  -0.80
    B1237+25...    12 39 40.361   24 53 49.96 252.44 86.54   -104.5 + 1.1   49.4 + 1.4   0.05  -105.6 + 1.2  -46.8 +1.3    -0.20
    B1325-43 ...   13 28 06.432  -43 57 44.12 309.87   18.41    3.3 + 6.6   53.6 + 22.6  0.18     11.3 + 7.9   52.5 + 22.2  0.54
    B1508+55....   15 09 25.646   55 31 32.53 91.32   52.28   -70.6 + 1.6  -68.8 + 1.2   0.22   -16.7 + 1.2    97.2 + 1.6   0.17
    B1534+12....   15 37 09.960   11 55 55.57 19.84   48.34    -7.6 + 9.3  -31.6 + 10.1  0.03   -31.5 + 10.0  -7.9 + 9.4    0.04
    B1540-06....   15 43 30.167  -06 20 45.42  0.56   36.60   -17.4 + 2.4   -3.6 + 2.7   0.42   -|4.1 + 3.0    10.8 + 1.9   0.02
    B1541+09....   15 43 38.836   09 29 16.41 17.81   45.77    -7.3 + 1.0   -4.0 + 1.0  -0.12    -7.0 + 1.0     4.4 + 1.0   0.11
    B1552-31...    15 55 17.946  -31 34 20.16 342.69   16.75   60.6 + 19.3 -77.3 + 50.6 -0.37    -6.6 +31.5  -98.0 + 44.0   0.75
    B1642-03...    16 45 02.051  -03 17 57.93 14.11   26.06    -3.7 +1.5    30.0 + 1.6   0.53     23.3 + 1.9   19.2+1.1    -0.22
    B1718-02...    17 20 57.257  -02 12 24.15 20.13   18.93    -0.8+3.7    -25.7 + 4.5   0.18   -22.7 + 4.7   -12.0 + 3.6   0.08
    B1732-07....   17 35 04.965  -07 24 52.29 17.27   13.28    -2.4+1.7     28.4 + 2.5   0.01     23.3 + 2.4   16.4 + 2.0   0.31
    B1737+13....   17 40 07.332   13 11 56.64 37.08   21.67   -21.5+2.2    -19.7 + 2.2  -0.09   -26.7 + 2.1    11.5+2.3     0.06
    B1937-26....   19 41 00.405  -26 02 05.98 13.90  -21.82    12.1 + 2.4   -9.9 + 3.8   0.01    -5.0 + 3.6  -14.8 + 2.6    0.27
    B1943-29 ....  19 46 51.732  -29 13 47.03 11.10  -24.12    18.6 + 8.9  -32.8 + 20.3 -0.46   -25.1 + 18.1  -28.2 + 12.8  0.72
    B1946+35....   19 48 25.000   35 40 11.04 70.70    5.04   -12.6 + 0.6    0.7 + 0.6  -0.11    -6.4 + 0.8    12.4 + 0.9   0.12
    B2011+38....   20 13 10.355   38 45 43.17 75.93    2.47   -32.1 + 1.7  -24.9 +2.3   -0.49   -38.5 + 1.7    13.1+2.3     0.47
    B2106+44....   21 08 20.481   44 41 48.81 86.90   -2.01     3.5+1.3      1.4 + 1.4    0.05     3.4 + 1.4   -1.6 +1.3    0.07
    B2154+40....   21 57 01.844   40 17 45.99 90.48  -11.34    17.8 +0.8     2.8 +1.0   -0.77     15.6 + 0.4   -9.0+1.2     0.09
    B2303+30....   23 05 58.322   31 00 01.46 97.72  -26.65     1.5+2.3    -20.0 + 2.2  -0.14    -7.5 + 2.1   -18.6 +2.3   -0.11
    B2327-20       23 30 26.908  -20 05 29.92 49.39  -70.19    74.7 + 1.9    5.3 + 2.9    0.15    36.0 + 2.8  -65.7 +1.9    0.23

