  Pulsar        R.A.           Decl.        ļg       ļô       JT
               (J2000)        (J2000)     (mas yr-1)   (mas yr-1)    (mas)
  B0031-07     00:34:08.8703(1)    -07:21:53.409(2)    10.37+0.08    -11.13+0.11    0.93+0.08
  B0136+57     01:39:19.7401(12)   +58:14:31.819(17)  -19.11+0.07    -16.60+0.07    0.37+0.04
  B0450-18     04:52:34.1057(1)    -17:59:23.371(2)     8.89+2.24     10.65+1.87    0.65+1.40
  B0450+55     04:54:07.7506(1)    +55:43:41.437(2)    53.34+0.06    -17.56+0.12    0.84+0.05
  J0538+2817   05:38:25.0572(1)    +28:17:09.161(2)   -23.57+0.10     52.87+0.10    0.72+0.12
  B0818-13     08:20:26.3817(1)    -13:50:55.859(2)    21.64+0.09    -39.44+0.04    0.51+0.04
  B1508+55     15:09:25.6298(1)    +55:31:32.394(2)   -73.64+0.05    -62.65+0.09    0.47+0.03
  B1541+09     15:43:38.8250(1)    +09:29:16.339(2)    -7.61+0.06     -2.87+0.07    0.13+0.02
  J1713+0747   17:13:49.5306(1)    +07:47:37.519(2)     4.75+0.17     -3.67+0.16    0.95+0.06
  B1933+16     19:35:47.8259(1)    +16:16:39.986(2)     1.13+0.13    -16.09+0.15    0.22+0.12
  B2045-16     20:48:35.6013(2)    -16:16:44.534(3)   113.16+0.02     -4.60+0.28    1.05+0.03
  B2053+36     20:55:31.3521(1)    +36:30:21.469(2)     1.04+0.04     -2.46+0.13    0.17+0.03
  B2154+40     21:57:01.8495(1)    +40:17:45.986(2)    16.13+0.10      4.12+0.12    0.28+0.06
  B2310+42     23:13:08.6209(1)    +42:53:13.043(2)    241.5+0.10      5.95+0.13    0.93+0.07
