                       R.A.          Decl.           P
     PSR J    PSR B   (J200)        (J200)   +      (s)     +   dP/dt  t  Epoch Data Span Ơp  Ơx
 0139+5814..    0136+57  01 39 19.73    1  +58 14 32.1    1  0.272450539874   4  10.7129   3  49191  48682-49750  0.3   1.3
 0332+5434...   0329+54  03 32 59.384   6  +54 34 43.54   8  0.714520151924   2   2.0471   1  49028  48355-49751  0.3  0.5
 0826+2637....  0823+26  08 26 51.43    2  +26 37 23.9    9  0.530660914909   3   1.7086   3  49178  48667-49749  0.5  0.7
 0944-1354....  0942-13  09 44 28.968   8  -13 54 41.7    2  0.570264123352   2   0.0453   1  49028  48357-49749  0.6   0.6
 1136+1551....  1133+16  11 36 03.24    2  +15 51 07.3    5  1.187913911535   5   3.7335   3  49028  48355-49749  0.8   0.8
 1509+5531..... 1508+55  15 09 25.688   8  +55 31 32.81   6  0.739681545019   3   5.0019   2  49029  48357-49749  0.4  0.9
 1603-27  ....  160-27   16 03 08.06    3  -27 13 27      2  0.778312974647   6   3.0098   5  49072  4844-49749  1.1   1.2
 1645-0317....  1642-03  16 45 02.042   1  -03 17 58.24   5  0.387690084727   3   1.7830   2  49028  48355-49749  0.1   1.6
 1740+1311..... 1737+13  17 40 07.33    1  +13 11 56.3    3  0.803050359916   6   1.4511   4  49021  48355-49688  1.0   1.0
 1824-1945...   1821-19  18 24 00.44    2  -19 45 50      3  0.189334603556   1   5.2349   1  49022  48355-49749  0.8   1.2
 1833-03  ...   1831-03  18 33 41.891  10  -03 39 03.4    4  0.68670203737    5  41.572    3  49028  483355-49749  0.8  11.8
 1844+1454....  1842+14  18 44 54.894   6  +14 54 14.2    1  0.375463324495   2   1.8606   2  49028  48356-49749  0.4  1.0
 1903+0135..... 1900+-01 19 03 29.982   6  +01 35 37.7    3  0.729303959886   6   4.0319   4  49021  48355-49688  0.3  1.0
 1903-06  ..    1900-06  19 03 37.94    2  -06 32 22.0    9  0.43188679015    1   3.3949   10 49021  48356-49687  0.8  3.8
 1907+4002....  1905+39  19 07 34.5     1  +40 02 04      2  1.23575746742    8   0.539    5  49029  48357-49749  59   7.2
 1909+0254....  1907+02  19 09 38.31    1  +02 54 50.5    4  0.989830885339   8   5.5301   6  49021  48355-49687  0.5   1.0
 1917+1353....  1915+13  19 17 39.798   3  +13 53 56.76   8  0.1946305212904  8   7.19882  6  49021  48355-49687  0.1   0.5
 1921+1948....  1918+19  19 21 03.79   10  +19 48 45      2  0.82103510256    5   0.894    3  49023  48357-49749  5.8   6.1
 1922+2110....  1920+21  19 22 53.522  10  +21 10 42.0    2  1.07792373628    1   8.1693   1  49021  48355-49751  0.5   1.1
 1932+1059...   1929+10  19 32 13.903   6  +10 59 32.3    2  0.2265178849019  9   1.15569  6  49022  48355-49751  0.4   0.7
 1943-1237....  1940-12  19 43 25.47    2  -12 37 42      1  0.972428894552   6   1.6557   4  49022  48356-49751  0.7  0.7
 1948+3540...   1946+35  19 48 25.015   5  +35 40 11.16   7  0.717311008711   2   7.0618   2  49178  48667-49749  0.2   0.3
 1955+5059....  1953+50  19 55 18.765   7  +50 59 55.35   5  0.518938039231   1   1.37239  9  49178  48667-49751  0.2   0.3
 2002+4050....  2000+40  20 02 4.04     2  +40 50 54.0    2  0.905066690369   6   1.7388   4  49022  48356-49751  1.2   1.2
 2018+2839....  2016+28  20 18 03.827  10  +28 39 54.10   9  0.557953516119   2   0.1473   2  49178  48668-49687  0.2   0.3
 2022+2854....  2020+28  20 22 37.077   1  +28 54 23.05   9  0.343402074793   1   1.8944   1  49185  48682-49751  0.2  0.3
 2022+5154....  2021+51  20 22 49.90    4  +51 54 50.8    4  0.529197598006   9   3.0636   8  49208  48667-49749  0.8  1.4
 2046-0421...   2043-04  20 46 00.16    2  -04 21 26.5    8  1.54693815272    1   1.4710   8  49021  48355-49751  0.9  1.0
 2055+3630..... 2053+36  20 55 31.372   3  +36 30 21.11   4  0.2215081968808  3   0.36903  2  49021  48355-49751  0.2  0.2
 2113+4644      2111+46  21 13 24.31    3  +46 44 08.2    2  1.014684951507   7   0.7091   7  49185  48681-49749  0.8   0.9
 2149+6329      2148+63  21 49 58.652   9  +63 29 44.13   6  0.3801404201241  8   0.16972  6  49027  48354-49750  0.4 0.4
 2257+5909..... 2255+58  22 57 57.750   7  +59 09 14.84   6  0.3682458610119  5   5.75428  5  48891  48354-49428  0.4  0.4
 2305+3100....  2303+30  23 05 58.34    2  +31 00 01.2    4  1.57588641685    1   2.8922  10  49028  48354-49750  1.1   1.2
 2354+6155..... 2351+61  23 54 04.72    2  +61 55 46.7    1  0.944783356759   6  16.2657   4  49028  48355-49751  0.8  1.3
