psr_name           J0108-1431	J0437-4715	J0630-2834	J0737-3039  J1559-4438	J2048-1616	J2144-3933	J2145-0750
pos_epoch          54100.0	54100.0	54100.0	54100.0  54100.0	54100.0	54100.0	54100.0
ra                 01:08:08.347016 	04:37:15.883250 	06:30:49.404393	07:37:51.248419  15:59:41.526126 	20:48:35.640637 	12:44:12.060404 	21:45:50.461901 
dec                14:31:50.187139   -47:15:09.031863  -28:34:42.778813  -30:39:40.714310    44:38:45.901778  -16:16:44.553501  -39:33:56.885041 -07:50:18.462388 
pmra               75.05 	121.679  -46.30  -3.82 1.52 	114.24 -57.89  -15.43
pmdec              -152.54  -71.820 	21.26 	2.13  13.15  -4.03 -155.90  -7.67 
plx                4.170 	6.396 	3.009 	0.872 0.384 	1.712 	6.051 0
ra_err             0.000088 0.000003 0.000043 0.000026 0.000008 0.000040 0.000045 0.000098
dec_err            0.001069 0.000037 0.000372 0.000099 0.000035 0.000147 0.000316 0.000558
pmra_err           2.26 0.05 0.99 0.62 0.14 0.52 0.88 2.07
pmdec_err          1.65 0.09 0.52 0.23 0.05 0.24 0.54 0.81
plx_err            1.421 0.054 0.409 0.143 0.081 0.909 0.560 0
plx_pmra_corr      0.27 -0.39 -0.01 -0.01  -0.43	0.78	0.23 0
plx_pmdec_corr     0.00	  0.60 - 0.10 - 0.06  0.18	0.64	0.16 0
