Table 1 
Positions for 48 Pulsars in J2000 Equatorial Coordinates
PSR Name	PSR Name	Epoch^C	R.A.^C	Decl.^C	Epoch^T	R.A.^T	Decl.^T	Ref.	
(J2000)	(B1950)	(MJD)	(h m s)	(d m s)	(MJD)	(h m s)	(d m s)		
J0055+5117	B0052+51	49664	00:55:45.378(10)	+51:17:24.9(1)	54611	00:55:45.394(3)	+51:17:24.66(4)	6	
J0134-2937	cdots	50846	01:34:18.6690(15)	-29:37:16.91(3)	54607	01:34:18.6826(4)	-29:37:17.040(7)	6	
J0157+6212	B0154+61	49709	01:57:49.93(2)	+62:12:25.9(2)	54594	01:57:49.95(2)	+62:12:26.4(2)	6	
J0335+4555	B0331+45	46109	03:35:16.643(2)	+45:55:52.99(5)	54596	03:35:16.645(1)	+45:55:53.44(3)	1	
J0520-2553	cdots	51216	05:20:36.185(3)	-25:53:12.28(10)	53570	05:20:36.194(5)	-25:53:12.16(10)	6	
J0629+2415	B0626+24	43984	06:29:05.719(4)	+24:15:41.65(6)	54595	06:29:05.731(3)	cdots	1	
J0653+8051^I	B0643+80	46110	06:53:14.86(3)	+80:51:59.9(1)	54593	06:53:15.25(1)	+80:52:00.03(2)	1	
J0754+3231	B0751+32	48725	07:54:40.688(5)	+32:31:56.2(2)	54584	07:54:40.663(7)	+32:31:55.9(3)	6	
J0908-1739	B0906-17	48737	09:08:38.182(1)	-17:39:37.67(3)	54601	09:08:38.209(1)	-17:39:39.09(3)	6	
J0944-1354	B0942-13	49337	09:44:28.956(1)	-13:54:41.63(2)	54319	09:44:28.962(2)	-13:54:41.84(4)	6	
J1047-3032	cdots	51019	10:47:00.815(6)	-30:32:18.0(1)	53571	10:47:00.84(3)	-30:32:17.8(5)	6	
J1311-1228^I	B1309-12	49667	13:11:52.66(2)	-12:28:00.7(5)	54371	13:11:52.656(9)	-12:28:01.1(3)	1	
J1527-3931	B1524-39	43558	15:27:58.93(8)	-39:31:35(3)	54217	15:27:58.85(5)	-39:31:35(1)	1	
J1543-0620	B1540-06	43889	15:43:30.170(8)	-06:20:45.29(9)	54601	15:43:30.140(1)	-06:20:45.42(6)	1	
J1603-2531	cdots	50719	16:03:04.893(3)	-25:31:47.36(7)	54602	16:03:04.866(3)	-25:31:47.1(2)	6	
J1614+0737^I	B1612+07	49897	16:14:40.906(9)	+07:37:31.0(2)	54192	16:14:40.902(4)	+07:37:31.7(1)	6	
J1708-3426^I	cdots	50856	17:08:57.79(4)	-34:26:44(2)	54565	17:08:57.784(2)	-34:26:44.8(1)	6	
J1722-3632^I	B1718-36	48378	17:22:09.817(8)	-36:32:53.3(5)	53882	17:22:09.793(2)	-36:32:55.0(1)	1	
J1733-2228^I	B1730-22	42004	17:33:26(2)	-22:28:45(45)	54132	17:33:26.429(9)	cdots	1	
