1     J0045-7319  mmh+91     J0045-7319    mmh+91     00:45:35.16          7  kbm+96     -73:19:03.0          2  kbm+96 
2     J0337+1715  rsa+14     J0337+1715    rsa+14     03:37:43.82589      13  rsa+14     +17:15:14.828        2  rsa+14 
3     J0348+0432  lbr+13     J0348+0432    lbr+13     03:48:43.639000      4  afw+13     +04:32:11.4580       2  afw+13 
4     J0437-4715  jlh+93     J0437-4715    jlh+93     04:37:15.8961737     6  rhc+16     -47:15:09.110714     7  rhc+16 
5     B0531+21    sr68       J0534+2200    sr68       05:34:31.973         5  mcn71      +22:00:52.06         6  mcn71 
6     J0534-6703  mfl+06     J0534-6703    mfl+06     05:34:36.17         10  mfl+06     -67:03:48.8          8  mfl+06 
7     B0540-69    shh84      J0540-6919    shh84      05:40:11.202         9  msl+10     -69:19:54.17         5  msl+10 
8     B0611+22    dls72      J0614+2229    dls72      06:14:17.0058        1  dgb+19     +22:29:56.848        1  dgb+19 
9     J0857-4424  lml+98     J0857-4424    lml+98     08:57:55.832         2  psj+19     -44:24:10.65         2  psj+19 
10    J1012+5307  nll+95     J1012+5307    nll+95     10:12:33.438234     12  abb+18     +53:07:02.28278     14  abb+18 
11    J1023+0038  asr+09     J1023+0038    asr+09     10:23:47.68720       3  dab+12     +00:38:40.8455       5  dab+12 
12    J1024-0719  bjb+97     J1024-0719    bjb+97     10:24:38.667311      6  abb+18     -07:19:19.5950       3  abb+18 
13    J1036-8317  ckr+15     J1036-8317    ckr+15     10:36:40.561         3  fermi21    -83:17:56.02         4  fermi21 
14    J1048+2339  cck+16     J1048+2339    cck+16     10:48:43.418354     76  drc+21     +23:39:53.4043      20  drc+21 
15    J1227-4853  rrb+15     J1227-4853    rrb+15     12:27:58.724         1  rrb+15     -48:53:42.741        3  rrb+15 
16    B1259-63    jlm+92     J1302-6350    jlm+92     13:02:47.638337     12  mds+18     -63:50:08.62859      8  mds+18 
17    B1302-64    mlt+78     J1305-6455    mlt+78     13:05:23.47          2  lbs+20     -64:55:28.5          1  lbs+20 
18    J1306-4035  kbj+18     J1306-4035    kbj+18     13:06:56.30          2  lin18      -40:35:23.3          2  lin18 
19    J1311-3430  pgf+12     J1311-3430    pgf+12     13:11:45.7242        2  pgf+12     -34:30:30.350        4  pgf+12 
20    J1417-4402  crr+16     J1417-4402    crr+16     14:17:30.60          9  scc+15     -44:02:57.4          9  scc+15 
21    J1431-4715  btb+15     J1431-4715    btb+15     14:31:44.6177        2  btb+15     -47:15:27.574        4  btb+15 
22    J1435-6100  clm+01     J1435-6100    clm+01     14:35:20.2765        5  clm+01     -61:00:57.956        7  clm+01 
# 23    J1437-6146  hfs+04     J1437-6146    hfs+04     14:37:15.31          9  hfs+04     -61:46:02.0          8  hfs+04 
24    J1509-6015  kbm+03     J1509-6015    kbm+03     15:09:07.5           1  kbm+03     -60:15:18.6          6  kbm+03 
25    J1542-5133  hfs+04     J1542-5133    hfs+04     15:42:19.93         13  hfs+04     -51:33:35            3  hfs+04 
26    J1546-5302  kbm+03     J1546-5302    kbm+03     15:46:07.4           1  kbm+03     -53:02:23.0          9  kbm+03 
27    J1622-0315  san16      J1622-0315    san16      16:22:59.6285        3  san16      -03:15:37.328        7  san16 
28    J1624-4411  lfl+06     J1624-4411    lfl+06     16:24:21.361        18  lfl+06     -44:11:33.8          5  lfl+06 
29    J1624-4721  kbm+03     J1624-4721    kbm+03     16:24:54.89          8  kbm+03     -47:21:27            2  kbm+03 
30    J1653-0158  nck+20     J1653-0158    nck+20     16:53:38.05381       5  gaia18     -01:58:36.8930       5  gaia18 
31    J1723-2837  fsk+04     J1723-2837    fsk+04     17:23:23.1856        8  cls+13     -28:37:57.17        11  cls+13 
32    J1810+1744  hrm+11     J1810+1744    hrm+11     18:10:37.28          1  bvr+13     +17:44:37.38         7  bvr+13 
33    J1816+4510  slr+14     J1816+4510    slr+14     18:16:35.93436       7  slr+14     +45:10:33.8618       8  slr+14 
34    B1813-36    mlt+78     J1817-3618    mlt+78     18:17:05.857         9  jbv+19     -36:18:04.6          3  jbv+19 
35    J1839-0905  hfs+04     J1839-0905    hfs+04     18:39:53.46          3  psj+19     -9:05:14.1           8  psj+19 
36    B1848+12    stwd85     J1851+1259    stwd85     18:51:13.215         7  hlk+04     +12:59:35.29        15  hlk+04 
37    J1852+0040  ghs05      J1852+0040    ghs05      18:52:38.57          4  ghs05      +00:40:19.8          6  ghs05 
38    J1903-0258  lfl+06     J1903-0258    lfl+06     19:03:30.343        11  lfl+06     -02:58:15.6          7  lfl+06 
39    J1928+1245  pkr+19     J1928+1245    pkr+19     19:28:45.39360       6  pkr+19     +12:45:53.374        3  pkr+19 
40    J1946+2052  sfc+18     J1946+2052    sfc+18     19:46:14.130         6  sfc+18     +20:52:24.64         9  sfc+18 
41    B1953+29    bbf83      J1955+2908    bbf83      19:55:27.875316     10  abb+18     +29:08:43.43625     18  abb+18 
42    J1957+2516  lbh+15     J1957+2516    lbh+15     19:57:34.6115        3  sab+16     +25:16:02.076        3  sab+16 
43    J1958+2846  aaa+09c    J1958+2846    aaa+09c    19:58:40.07          3  rkp+11     +28:45:54            1  rkp+11 
44    B1957+20    fst88      J1959+2048    fst88      19:59:36.76988       5  aft94      +20:48:15.1222       6  aft94 
45    J2027+4557  hrk+08     J2027+4557    hrk+08     20:27:16.233         3  jsb+09     +45:57:57.08         4  jsb+09 
46    J2032+4127  aaa+09c    J2032+4127    aaa+09c    20:32:13.119         2  hnl+17     +41:27:24.31         9  hnl+17 
47    J2039-5617  cnv+21     J2039-5617    cnv+21     20:39:34.9681        1  cnv+21     -56:17:09.268        1  cnv+21 
48    J2129-0429  hrm+11     J2129-0429    hrm+11     21:29:45.039         1  bkb+16     -04:29:05.59         8  bkb+16 
49    J2215+5135  hrm+11     J2215+5135    hrm+11     22:15:32.6884        4  aaa+13     +51:35:36.340       13  aaa+13 
50    J2339-0533  pc15       J2339-0533    pc15       23:39:38.74          1  pc15       -05:33:05.32         3  pc15 
