psr_name, pos_epoch, ra_str, dec_str, pmra_str, pmdec_str, plx_str, 
J0711-6830, 53000.0, 07:11:54.2007(6), -68:30:47.473(2), -11(4), 19(2), 0(0), 
J1024-0719, 53000.0, 10:24:38.68845(2), -07:19:19.1702(6), -34.9(4), -47(1), 1.9(8), 
J1744-1134, 53184.0, 17:44:29.401230(6), -11:34:54.6474(6), 19.6(4), -7(1), 2.1(4), 
B1937+21, 53050.0, 19:39:38.561308(1), 21:34:59.12943(4), -0.41(4), -1.5(1), 0(0), 
J2124-3358, 53174.0, 21:24:43.85350(4), -33:58:44.668(1), -14.4(8), -50(2), 4(2), 
J0437-4715, 53019.0, 04:37:15.8478747(8), -47:15:08.822580(8), 121.31(1), -71.53(1), 6.3(2), 
J0613-0200, 53012.0, 06:13:43.97509(2), -02:00:47.1712(4), 2.1(2), -10.5(6), 2.1(6), 
J1713+0747, 53100.0, 17:13:49.531524(2), +07:47:37.51449(6), 4.97(6), -3.7(1), 1.1(1), 
B1855+09, 53186.0, 18:57:36.39161(4), +09:43:17.2322(8), 0(0), 0(0), 0(0), 
J1909-3744, 53055.0, 19:09:47.4378773(8), -37:44:14.32397(6), -9.49(2), -36.06(6), 0.88(4), 
J1022+1001, 53100.0, 10:22:57.998(4), 10:01:52.5(1), 16.8(4), 0(0), 2.5(8), 
J1045-4509, 53050.0, 10:45:50.18941(8), -45:09:54.143(1), -7(1), 8(2), 0(0), 
J1603-7202, 53024.0, 16:03:35.6798(1), -72:02:32.6984(8), -2.8(6), -6(1), 0(0), 
J2129-5721, 52944.0, 21:29:22.7618(2), -57:21:14.169(6), 0(0), 0(0), 0(0), 
J2145-0750, 53070.0, 21:45:50.4640(2), -07:50:18.439(6), -9(2), -10(6), 0(0), 
