                    Improved Positions                         Period    Reference
  Pulsar Name       RA            Dec          Period        Derivative    Epoch    log(Tch) log(B)
     (J2000)    h m   S        ô    $            (s)         (10-15 ss-1)  (MJD)
   J0134-2937   01 34 18.649(3)  -29 37 17.15(5)  0.136961577727(2)   0.0801(1)    49900.04252    7.4      11.0
   J0459-0210   04 59 51.979(9)  -02 10 06.4(4)   1.13307600931(7)    1.410(5)     49900.19350    7.1      12.1
   J1034-3224   10 34 19.452(8)  -32 24 26.0(1)   1.15059041263(4)    0.215(3)     49900.36458    7.9     11.7
   J1141-3322   11 41 42.759(6)  -33 22 36.8(1)   0.145733745933(4)   0.2309(3)    49900.45592    7.0     11.3
   J1418-3921   14 18 50.421(7)  -39 21 18.3(2)   1.09680607062(3)    0.939(2)     49900.54673    7.3     12.0
   J1603-2531   16 03 04.959(9)  -25 31 44.55(6)  0.283070264097(5)   1.5964(4)    49900.71204    6.5      11.8
   J1648-3256   16 48 06.073(8)  -32 56 41.9(5)   0.71945492855(2)    3.533(2)     49900.74562    6.5      12.2
   J1650-1654   16 50 27.15(2)   -16 54 47(2)     1.7495514797(1)     3.21(1)      49899.88815    6.8     12.3
   J1759-2922   17 59 48.231(4)  -29 22 12.0(5)   0.57439988675(1)    4.6204(8)    49902.80180    6.3     12.2
   J1808-0812   18 08 09.39(1)   -08 12 53.7(7)   0.87604418427(6)    1.196(5)     49899.95145    7.1      12.0
   J1823-0154   18 23 52.146(5)  -01 54 03.4(2)   0.75977737196(2)    1.118(2)     49902.88460    7.0     12.0
   J1848-1414   18 48 39.09(1)   -14 14 12(1)     0.29776954631(2)    0.005(2)     49902.92316    9.0     10.6
   J1852-2610   18 52 59.531(3)  -26 10 22.2(4)   0.336337124382(3)   0.0838(2)    49902.94124    7.8     11.2
   J1901-0906   19 01 52.974(6)  -09 06 07.5(4)   0.89096381268(3)    0.805(2)     49900.99981    7.2     11.9
   J2248-0101   22 48 26.89(2)   -01 01 46.7(7    0.47723306412(2)    0.658(1)     49901.12477    7.1      11.8
   J2346-0610   23 46 50.88(3)   -06 10 04(1)     1.18146325802(5)    1.119(4)     49934.05808    7.2     12.1
