  Pulsar      Pulsar    R.A. (J2000)     Dec. (J2000)   Period            pÞ          DM         Epoch    rms    A
  PSR J       PSR B       h m s            o I I1       (ms)             (x10-l5      (cm"3pc)   (MJD2    (ms)
  1012-5857   1011-58   10 12 48.5(3)   -58 57 40(2)    819.9114962(3)   17.690(10)   383.9(1)   48016.2  21.4  +0.25
  1038-5831   1036-58   10 38 19.70(1)  -58 31 27.18(8) 661.992094032(11)1.2512(3)    72.74(3)   47910.6  0.7   -1.3
  1048-5832   1046-58   10 48 13.1(2)   -58 32 13(1)    123.65260727(2)  95.9265(8)   129.1(2)   48658.0   2.7   -0.65
  1110-5637   1107-56   11 10 00.40(2)  -56 37 32.9(2)  558.252726401(7) 2.0640(5)    262.56(6)  48338.5  1.6   -0.88
  1114-6100   1112-60   11 14 22.52(2)  -61 00 34.2(1)  880.81962549(2)  46.0876(6)   676(2)     47910.6  0.8   -1.2
  1126-6054   1125-60   11 26 52.608(11)-60 54 39.96(7) 202.736911853(3) 0.28128(8)   280.27(3)  47909.9   0.7    -1.3
  1133-6250   1131-62   11 33 51.45(7)  -62 50 50.6(4)  1022.87514082(9) 0.452(2)     567.8(5)   47910.6  3.7   -0.52
  1306-6617   1303-66   13 06 38.19(4)  -66 17 21.8(2)  473.026470689(7) 5.9745(5)    436.9(2)   48394.5  1.6   -0.88
  1319-6056   1316-60   13 19 20.29(2)  -60 56 46.7(1)  284.351393041(6) 1.5263(2)    400.94(4)  47910.8  0.8   -1.2
  1327-6301   1323-627  13 27 07.47(2)  -63 01 15.39(1) 196.478664183(3) 1.52962(7)   294.91(3)  47910.8   0.6    -1.3
  1338-6204   1334-61   13 38 09.35(5)  -62 04 18.7(4)  1238.98957650(4) 13.854(2)    638(3)     48375.5  2.8   -0.65
  1413-6307   1409-62   14 13 31.316(8) -63 07 35.45(7) 394.945790784(2) 7.4343(2)    121.98(6)  48375.5  0.4   -1.5
  1512-5759   1508-57   15 12 43.026(11)-57 59 59.8(2)  128.694148448(2) 6.85121(6)   628.7(2)   47911.7   0.7    -1.2
  1522-5829   1518-58   15 22 42.27(2)  -58 29 02.7(2)  395.352859901(3) 2.0035(2)    199.9(2)   48360.0  0.9   -1.1
