  PSR J          PSR B     EpochF   RAF(J2000)       Dec.F(J2000)      Epochc   RAC(J2000)       Dec.'(J2000)      Ref.
                           (MJD)    (h:m:s)          (9 :"")           (MJD)    (h:m:s)          ( :"")
  J0134-2937      -        54428    01:34:18.6824(3) -29:37:17.042(7)  50846    01:34:18.6690(15)    -29:37:16.91(3)       1
  J0358+5413   B0355+54    54096    03:58:53.7238(2) +54:13:13.784(3)  51544    03:58:53.7165(3) +54:13:13.727(5)   2
  J0454+5543   B0450+55    54086    04:54:07.7833(9) +55:43:41.345(13) 52275    04:54:07.7506(1) +55:43:41.437(2)   3
  J0953+0755   B0950+08    53908    09:53:09.3069(8) +07:55:36.37(3)   46375    09:53:09.3097(19)    +07:55:35.75(8)      1
  J1733-3716   B1730-37    54433    17:33:26.7628(18)    -37:16:55.23(9)      48378    17:33:26.754(5)      -37:16:54.6(3)       4
  J1745-3040   B1742-30    53895    17:45:56.3127(4) -30:40:23.19(4)   52384    17:45:56.305(2)  -30:40:23.5(2)     5
  J1835-1020    -          54369    18:35:57.5784(10)    -10:20:04.50(6)      51493    18:35:57.551(12)     -10:20:04.8(10)      6
  J1847-0402   B1844-04    53902    18:47:22.8428(16)    -04:02:14.26(6)      48736    18:47:22.8379(18)    -04:02:14.19(11)      1
  J1848-0123   B1845-01    53868    18:48:23.5895(15)    -01:23:58.33(5)      50022    18:48:23.5917(17)    -01:23:58.23(7)       1
  J1901+0331   B1859+03    54336    19:01:31.781(2)  +03:31:05.97(7)   50027    19:01:31.781(3)  +03:31:05.92(7)    1
  J1903+0135   B1900+01    54379    19:03:29.9826(11)   +01:35:38.37(4)      48741    19:03:29.981(3)     +01:35:38.33(11)      1
  J1904+0004    -          54377    19:04:12.7180(15)   +00:04:05.29(4)      50866    19:04:12.720(7)     +00:04:05.3(3)       1
  J2022+2854   B2020+28    53901    20:22:37.0685(12)    +28:54:22.90(2)      49692    20:22:37.0671(7)    +28:54:23.104(11)     1
  J2113+4644   B2111+46    53915    21:13:24.328(4)  +46:44:08.82(5)   46614    21:13:24.307(16) +46:44:08.70(18)   1
  J2257+5909   B2255+58    53908    22:57:57.7531(10)   +59:09:14.803(8)     50085    22:57:57.744(4)     +59:09:14.83(3)      1
