   PSR J      PSR B    ų       uš      ųå      uß     uP      uP       ųą     uş      ųą       uş   Ref!
                    (mas yr-l) (mas yr-1) (mas yr-1) (mas yr-')(mas yr~1) (mas yr-1) (mas yr-1) (mas yr-l) (mas yr-l) (mas yr-l)
   J0134-2937  -      13(2)  -11(3)   13(2)  -10(3)   18(2)  -14(3) - - - - - 
   J0358+5413 B0355+54   9.3(5)    8.3(8)    10.4(6)    7(1)     9.2(5)    8.2(8)     8(3)     19(6)    9.20(18)   8.17(39)   2
   J0454+5543 B0450+55   55(2)    -19(4)    54(3)    -14(5)    56(2)    -19(3)    48(6)    -13(12)   53.34(6)  -17.56(14)   3
   J0953+0755 B0950+08   -1(4)    34(10)    -4(6)    25(15)    -2(2)    30(4)    -3(3)    26(7)    -2.09(8)   29.46(7)   7
   J1733-3716 B1730-37   4(9) 63(34)  6(10)  84(37)   6(4)   -38(19) - - - - - 
   J1745-3040 B1742-30  12.5(15)   30(11)   11.9(16)   50(12)    24(6)    75(49)    6(3)     4(26) - - -
   J1835-1020  -      25(5)   4(21)   24(5)   2(21)  51(22)  38(127) - - - - - 
   J1847-0402 B1844-04   -1(7)    8(19)   -0.1(69)   7(18)     5(3)     5(9)     -1(5)    -9(19) - - -
   J1848-0123 B1845-01   -5(6)    14(16)    -3(6)    24(16)    -3(3)    -10(8)    2(6)    -41(19) - - - 
   J1901+0331 B1859+03  -7(15)   34(31)   -10(13)   42(27)    0(5)     4(8) - - - - -
   J1903+0135 B1900+01   3(7)    -13(14)   5(12)    -24(28)    2(4)     2(10) - - - - -
   J1904+0004  -      8(9)   -7(16)   9(10)  -10(18)  3(11)  -1(31)  -7(21)  -83(75) - - - 
   J2022+2854 B2020+28   -9(4)    -19(5)    -7(5)    -18(7)    2(2)    -18(2)    -9(3)    -15(5)   -4.4(5)   -23.6(3)   7
   J2113+4644 B2111+46  -4(13)    9(14)     5(13)    4(14)    11(8)     6(9)     9(15)    -1(16) - - - 
   J2257+5909 B2255+58   6(2) -3(3)   7(2)    -2(3)   7(3)    -3(3)   28(7)   -8(6) - - -
