                               RA                Dec             po           põ         PX      Pos. epoch+
  Name        Solutionsf      (hms)              (0'")        (masyr-1)    (mas yr-1)   (mas)      (MJD)
  B0031-07     Timing      00:34:08.84(5)    -07:21:53.1(14)   -16(26)       17(53)                52275
#                VLBIb      00:34:08.8703(1)  -07:21:53.409(2)   10.37(8)    -11.13(16)  0.93(8)
  B0136+57    Timing     01:39:19.744(4)   +58:14:31.73(3)        0(0)  0(0)                                   52275
#              VLBĮb     01:39:19.7401(12) +58:14:31.819(17)   -19.11(7)   -16.60(7)   0.37(4)
  B0148-06     Timing      01:51:22.72(6)    -06:35:03.5(20)    19(42)      -39(87)                56000
#                VLBIC      01:51:22.7179(2)  -06:35:02.987(2)    10.7(1)     -5.38(7)   0.23(9)
  B0154+61     Timing      01:57:49.80(7)    +62:12:27.3(7)    -51(36)      81(33)                 56000
#                VLBIC      01:57:49.9434(1)  +62:12:26.648(1)    1.57(6)     44.80(4)   0.56(3)
  B0450+55    Timing     04:54:07.746(6)    +55:43:41.4(1)     48(6)       -13(12)                52275
#                VLBIb      04:54:07.7506(1)  +55:43:41.437(2)   53.34(6)    -17.56(14)  0.84(5)
  B0611+22     Timing      06:14:17.16(3)    +22:30:36(17)         0(0)  0(0)                                   56000
#                VLBIC      06:14:17.0058(1)  +22:29:56.848(1)   -0.24(4)     -1.25(4)   0.28(3)
  B0626+24    Timing      06:29:05.77(2)     +24:15:50(6)      32(15)     400(300)                56000
#                VLBIC      06:29:05.7273(1)  +24:15:41.546(1)   3.56(12)     -4.68(8)   0.32(5)
  B0727-18     Timing     07:29:32.351(3)    -18:36:42.75(7)     0(0)  0(0)                                 56000
#                VLBIC      07:29:32.3369(1)  -18:36:42.244(2)  -13.06(11)   13.27(44)   0.50(9)
  B0809+74     Timing      08:14:59.49(2)    +74:29:05.8(2)     18(20)      -49(21)                48382
#                VLBIa     08:14:59.5412(10) +74:29:05.367(15)   24.02(9)     -44.0(4)   2.31(4)
  B0820+02    Timing      08:23:09.77(1)    +01:59:12.7(5)     -2(8)       18(24)                 56000
#                VLBIC      08:23:09.7651(1)  +01:59:12.469(1)    -4.0(2)     0.15(26)    0.4(1)
  B1530+27    Timing      15:32:10.37(4)    +27:45:49.3(7)     6(24)       -7(30)                 56000
#                VLBIC      15:32:10.3646(1)  +27:45:49.623(1)    1.5(1)     18.93(11)   0.59(6)
  B1540-06     Timing     15:43:30.136(9)    -06:20:45.5(4)     -18(6)      -14(19)                56000
#                VLBIC      15:43:30.1373(1)  -06:20:45.332(2)  -16.79(4)    -0.30(13)   0.31(4)
  B1541+09      Timing      15:43:38.82(4)     +09:29:15(1)      9(39)      -113(76)                52275
#              VLBŢb      15:43:38.8250(1)  +09:29:16.339(2)   -7.61(6)     -2.87(7)   0.13(2)
  B1642-03     Timing     16:45:02.0414(6)   -03:17:58.32(3)      0(0)        0(0)                        56000
#                VLBIC      16:45:02.0406(1)  -03:17:57.819(2)  -1.035(27)    20.5(2)    0.26(2)
  B2154+40   Timing      21:57:01.84(1)    +40:17:45.9(2)     0(13)        7(15)                 52275
#                VLBIb      21:57:01.8495(1)  +40:17:45.986(2)   16.13(10)    4.12(12)   0.28(6)
  B2351+61     Timing      23:54:04.77(1)    +61:55:46.8(1)     18(8)        -1(6)                 56000
#                VLBIC      23:54:04.7830(1)  +61:55:46.845(1)   22.76(5)    4.897(25)   0.41(4)

