                                                            DM       DM sin |b|  S1400    Wso
          PSR              R.A. (J2000)    Decl. (J2000)  (cm33 pc)  (cm-3 pc)   (mJy)   (ms)
  J0045-7042             00 45 25.69(17)  -70 42 07.1(13)  70(3)        50.7       0.11   19
  J0111-7131             01 11 28.77(9)   -71 31 46.8(6)   76(3)        54.2       0.06   13
  J0131-7310             01 31 28.51(3)   -73 10 09.34(13) 205.2(7)    141.6       0.15    4.8
  J0449-7031             04 49 05.67(5)   -70 31 31.7(3)   65.83(7)     38.2       0.14    7.9
  J0451-67               04 51 50(70)     -67 18(7)        45(1)        26.6       0.05    5.5
  J0456-7031             04 56 02.5(3)    -70 31 06.6(12)  100.3(3)4    57.5       0.05    8
  J0457-6337             04 57 07.79(8)   -63 37 30.4(9)   27.5(10)     16.4       0.18   36
  J0511-6508             05 11 56.50(2)   -65 08 36.5(3)   25.66(8)     14.6       0.70   12
  J0519-6932             05 19 46.917(12) -69 32 23.48(7)  119.4(5)     65.5       0.32    4.1
  J0522-6847             05 22 23.06(8)   -68 47 02.2(3)   126.45(7)4   69.2       0.19   12
  J0532-6639             05 32 59.51(6)   -66 39 37.3(5)   69.3(18)     37.2       0.08    9
  J0534-6703             05 34 36.17(10)  -67 03 48.8(8)   94.7(12)     50.6       0.08   25
  J0543-6851             05 43 52.71(11)  -68 51 25.3(9)   131(4)       67.9       0.22   58
  J0555-7056             05 55 01.85(12)  -70 56 45.6(6)   73.4(16)     36.8       0.21   27
