                         PERIOD PARAMETERS FOR PULSARS DIsCOVERED IN THIS SURVEY
                            P              P       Epoch     Data Span          Residual
         PSR                (s)          (10-15)   (MJD)      (MJD)      NroA    (ms)
 J0045-7042            0.63233580002(6)  2.49(3)   52407.0  52189-52642   17      1.54
 J0111-7131            0.68854151164(5)  7.092(4)  52369.0  52041-52695   15      1.14
 J0131-7310            0.348124045581(7) 1.7614(7) 52335.0  52038-52631  24      0.40
 J0449-7031            0.479163971291(14)3.371(4)  52465.0  52233-52695     20       0.51
 J0451-67              0.24545429(7)      <2       52817.0  52817-52818   5      0.80
 J0456-7031            0.80013207321(10)36.70(3)   52560.0  52316-52804      15       2.25
 J0457-6337            2.49701169613(19) 0.21(3)   52465.0  52189-52739   8      0.75
 J0511-6508            0.322061827468(8) 0.206(4)  52409.0  52189-52628  27      0.29
 J0519-6932            0.263211634568(3) 0.6968(5) 52466.0  52237-52695  26      0.20
 J0522-6847            0.67453190906(3) 17.727(14) 52503.0  52311-52695   16     0.29
 J0532-6639            0.64274275093(3)  5.354(13) 52462.0  52259-52664  14      0.58
 J0534-6703            1.81756503106(17)425.05(6)  52410.0  52195-52624      16       0.65
 J0543-6851            0.70895418575(6)  3.94(3)   52410.0  52195-52624  16       1.32
 J0555-7056            0.82783808575(7)  5.96(3)   52408.0  52190-52624   16     0.84
