psr_name, pos_epoch, ra_str, dec_str, pmra_str, pmdec_str, plx_str, 
J0711-6830, , 7:11:54.180362(7), -68:30:47.37034(4), -15.568(10), 14.175(11), 0(0), 
J1024-0719, , 10:24:38.671419(4), -7:19:19.5146(1), -35.270(17), -48.22(3), 0.83(13), 
J1730-2304, , 17:30:21.67100(3), -23:4:31.147(9), 20.06(12), -4(2), 2.11(11), 
J1744-1134, , 17:44:29.409783(1), -11:34:54.71069(7), 18.803(4), -9.390(18), 2.44(5), 
J1824-2452A, , 18:24:32.007884(9), -24:52:10.872(3), -0.25(4), -8.6(8), 0(0), 
J1832-0836, , 18:32:27.592338(5), -8:36:55.0339(3), -8.06(5), -21.01(19), 0.64(20), 
J1939+2134, , 19:39:38.5612568(6), 21:34:59.12487(1), 0.070(3), -0.406(4), 0.21(5), 
J2124-3358, , 21:24:43.845870(6), -33:58:45.0065(2), -14.109(19), -50.36(4), 2.3(2), 
J0613-0200, , 6:13:43.975902(2), -2:0:47.24352(8), 1.836(5), -10.349(13), 1.01(9), 
J1017-7156, , 10:17:51.321896(6), -71:56:41.61771(3), -7.411(12), 6.870(11), 0.6(6), 
J1022+1001, , 10:22:57.995(1), 10:1:52.69(4), -19(3), -5(9), 1.55(16), 
J1045-4509, , 10:45:50.18519(1), -45:9:54.1062(1), -6.07(3), 5.19(4), 1.7(7), 
J1125-6014, , 11:25:55.230337(8), -60:14:6.69635(6), 11.106(13), -13.037(14), 0.6(3), 
J1446-4701, , 14:46:35.712384(8), -47:1:26.7780(1), -4.36(4), -3.00(7), 0.6(3), 
J1545-4550, , 15:45:55.945691(4), -45:50:37.52246(8), -0.48(2), 2.37(4), 0.45(14), 
J1600-3053, , 16:0:51.903223(2), -30:53:49.3873(1), -0.960(7), -6.96(3), 0.53(6), 
J1603-7202, , 16:3:35.675848(9), -72:2:32.75278(5), -2.447(11), -7.356(13), 0.3(3), 
J1643-1224, , 16:43:38.162227(5), -12:24:58.6664(3), 5.970(18), 3.77(8), 0.82(17), 
J1713+0747, , 17:13:49.5337733(4), 7:47:37.48575(1), 4.9254(14), -3.917(3), 0.763(21), 
J1732-5049, , 17:32:47.76675(3), -50:49:0.1891(4), -0.43(14), -9.9(2), 0(0), 
J1857+0943, , 18:57:36.390309(2), 9:43:17.19768(6), -2.665(9), -5.413(17), 0.85(16), 
J1909-3744, , 19:9:47.4321890(3), -37:44:14.57793(1), -9.5146(8), -35.776(3), 0.86(1), 
J2129-5721, , 21:29:22.770723(4), -57:21:14.24329(5), 9.30(1), -9.576(13), 0.26(17), 
J2145-0750, , 21:45:50.459478(6), -7:50:18.5048(2), -9.48(2), -9.11(7), 1.40(8), 
J2241-5236, , 22:41:42.026483(1), -52:36:36.23755(1), 18.881(4), -5.294(5), 0.96(4), 
