psr_name, pos_epoch, ra, dec, pmra, pmdec, plx, ra_err, dec_err, pmra_err, pmdec_err, plx_err
# , MJD, deg, deg, mas/yr, mas/yr, mas, mas, mas, mas/yr, mas/yr, mas
J0040+5716,56000.0,  10.1349579167,  57.2735647222,  12.400,  -5.450,   0.100, 0.811, 1.000, 0.060, 0.140, 0.050
J0055+5117,56000.0,  13.9391587500,  51.2901669444,  10.490, -17.350,   0.350, 0.938, 1.000, 0.090, 0.200, 0.060
J0102+6537,56000.0,  15.6374641667,  65.6203933333,   9.250,   1.830,   0.400, 0.619, 1.000, 0.080, 0.210, 0.040
J0108+6608,56000.0,  17.0937704167,  66.1429163889, -32.750,  35.160,   0.470, 1.820, 1.000, 0.040, 0.050, 0.040
J0147+5922,56000.0,  26.9360141667,  59.3675788889,  -6.380,   3.830,   0.490, 0.764, 1.000, 0.100, 0.100, 0.090
J0151-0635,56000.0,  27.8446579167,  -6.5841630556,  10.700,  -5.370,   0.220, 2.980, 2.000, 0.140, 0.080, 0.100
J0152-1637,56000.0,  28.0452245833, -16.6315669444,   0.800, -31.370,   0.440, 1.437, 2.000, 0.230, 0.420, 0.210
J0157+6212,56000.0,  29.4580975000,  62.2074022222,   1.520,  44.810,   0.550, 0.699, 1.000, 0.100, 0.050, 0.040
J0323+3944,56000.0,  50.8610912500,  39.7478897222,  26.480, -30.780,   1.050, 1.153, 1.000, 0.060, 0.030, 0.040
J0332+5434,56000.0,  53.2475400000,  54.5787025000,  16.970, -10.380,   0.590, 0.869, 1.000, 0.030, 0.060, 0.030
J0335+4555,56000.0,  53.8193400000,  45.9315144444,  -3.640,  -0.100,   0.410, 1.043, 1.000, 0.070, 0.130, 0.030
J0357+5236,56000.0,  59.4368345833,  52.6159702778,  13.910, -10.630,   0.300, 1.821, 1.000, 0.120, 0.100, 0.080
J0406+6138,56000.0,  61.6253358333,  61.6448355556,  12.400,  22.720,   0.220, 1.425, 1.000, 0.150, 0.100, 0.060
J0601-0527,56000.0,  90.4957300000,  -5.4641308333,  -7.350, -15.230,   0.480, 2.986, 4.000, 0.080, 0.100, 0.040
J0614+2229,56000.0,  93.5708575000,  22.4991244444,  -0.230,  -1.220,   0.280, 1.386, 1.000, 0.050, 0.070, 0.030
J0629+2415,56000.0,  97.2738637500,  24.2615405556,   3.630,  -4.610,   0.330, 1.368, 1.000, 0.190, 0.150, 0.050
J0729-1836,56000.0, 112.3847370833, -18.6117344444, -13.070,  13.250,   0.490, 1.422, 2.000, 0.120, 0.460, 0.100
J0823+0159,56000.0, 125.7906879167,   1.9867969444,  -3.980,   0.150,   0.410, 1.499, 1.000, 0.160, 0.110, 0.100
J0826+2637,56000.0, 126.7146116667,  26.6225825000,  62.990, -96.730,   2.010, 1.341, 1.000, 0.020, 0.090, 0.010
J1022+1001,56000.0, 155.7416487500,  10.0313236111, -14.890,   5.590,   1.390, 1.477, 2.000, 0.050, 0.030, 0.040
J1136+1551,56000.0, 174.0129991667,  15.8539397222, -73.780, 366.570,   2.690, 1.443, 1.000, 0.030, 0.070, 0.020
J1257-1027,56000.0, 194.2698437500, -10.4515419444,  -7.160,  12.080,   0.140, 2.950, 2.000, 0.140, 0.120, 0.090
J1321+8323,56000.0, 200.4401312500,  83.3942866667, -52.670,  32.370,   0.970, 1.208, 1.000, 0.100, 0.200, 0.140
J1532+2745,56000.0, 233.0431858333,  27.7637841667,   1.540,  18.930,   0.620, 1.327, 1.000, 0.130, 0.120, 0.100
J1543-0620,56000.0, 235.8755720833,  -6.3459255556, -16.770,  -0.310,   0.320, 1.491, 2.000, 0.060, 0.150, 0.040
J1607-0032,56000.0, 241.8002491667,  -0.5448686111, -26.440, -27.500,   0.930, 3.000, 2.000, 0.100, 0.220, 0.050
J1623-0908,56000.0, 245.8235829167,  -9.1468702778, -10.770,  23.510,   0.590, 1.481, 2.000, 0.130, 0.170, 0.100
J1645-0317,56000.0, 251.2585025000,  -3.2993941667,  -1.010,  20.520,   0.250, 1.498, 2.000, 0.050, 0.200, 0.030
J1650-1654,56000.0, 252.6132058333, -16.9117450000, -15.020,  -6.560,  -0.090,10.046,20.000, 0.090, 0.150, 0.030
