1     B0037+56    dtws85     J0040+5716    dtws85     00:40:32.3899        1  dgb+19     +57:16:24.833        1  dgb+19 
2     B0052+51    dtws85     J0055+5117    dtws85     00:55:45.3981        1  dgb+19     +51:17:24.601        1  dgb+19 
3     B0059+65    dbtb82     J0102+6537    dbtb82     01:02:32.9914        1  dgb+19     +65:37:13.416        1  dgb+19 
4     B0105+65    dls72      J0108+6608    dls72      01:08:22.5049        3  dgb+19     +66:08:34.499        1  dgb+19 
5     B0144+59    stwd85     J0147+5922    stwd85     01:47:44.6434        1  dgb+19     +59:22:03.284        1  dgb+19 
6     B0148-06    mlt+78     J0151-0635    mlt+78     01:51:22.7179        2  dgb+19     -06:35:02.987        2  dgb+19 
7     B0149-16    mlt+78     J0152-1637    mlt+78     01:52:10.8539        1  dgb+19     -16:37:53.641        2  dgb+19 
8     B0154+61    dls72      J0157+6212    dls72      01:57:49.9434        1  dgb+19     +62:12:26.648        1  dgb+19 
9     B0320+39    dth78      J0323+3944    dth78      03:23:26.6619        1  dgb+19     +39:44:52.403        1  dgb+19 
10    B0329+54    cp68       J0332+5434    cp68       03:32:59.4096        1  dgb+19     +54:34:43.329        1  dgb+19 
11    B0331+45    dtws85     J0335+4555    dtws85     03:35:16.6416        1  dgb+19     +45:55:53.452        1  dgb+19 
12    B0353+52    dtws85     J0357+5236    dtws85     03:57:44.8403        2  dgb+19     +52:36:57.493        1  dgb+19 
13    B0402+61    dth78      J0406+6138    dth78      04:06:30.0806        2  dgb+19     +61:38:41.408        1  dgb+19 
14    B0559-05    mlt+78     J0601-0527    mlt+78     06:01:58.9752        2  dgb+19     -05:27:50.871        4  dgb+19 
15    B0611+22    dls72      J0614+2229    dls72      06:14:17.0058        1  dgb+19     +22:29:56.848        1  dgb+19 
16    B0626+24    dth78      J0629+2415    dth78      06:29:05.7273        1  dgb+19     +24:15:41.546        1  dgb+19 
17    B0727-18    mlt+78     J0729-1836    mlt+78     07:29:32.3369        1  dgb+19     -18:36:42.244        2  dgb+19 
18    B0820+02    mlt+78     J0823+0159    mlt+78     08:23:09.7651        1  dgb+19     +01:59:12.469        1  dgb+19 
19    B0823+26    cls68      J0826+2637    cls68      08:26:51.5068        1  dgb+19     +26:37:21.297        1  dgb+19 
20    J1022+1001  cnst96     J1022+1001    cnst96     10:22:57.9957        1  dgb+19     +10:01:52.765        2  dgb+19 
21    B1133+16    phbc68     J1136+1551    phbc68     11:36:03.1198        1  dgb+19     +15:51:14.183        1  dgb+19 
22    B1254-10    dtws85     J1257-1027    dtws85     12:57:04.7625        2  dgb+19     -10:27:05.551        2  dgb+19 
23    B1322+83    dbtb82     J1321+8323    dbtb82     13:21:45.6315        7  dgb+19     +83:23:39.432        1  dgb+19 
24    B1530+27    dth78      J1532+2745    dth78      15:32:10.3646        1  dgb+19     +27:45:49.623        1  dgb+19 
25    B1540-06    mlt+78     J1543-0620    mlt+78     15:43:30.1373        1  dgb+19     -06:20:45.332        2  dgb+19 
26    B1604-00    vl70       J1607-0032    vl70       16:07:12.0598        2  dgb+19     -00:32:41.527        2  dgb+19 
27    B1620-09    mlt+78     J1623-0908    mlt+78     16:23:17.6599        1  dgb+19     -09:08:48.733        2  dgb+19 
28    B1642-03    ht69       J1645-0317    ht69       16:45:02.0406        1  dgb+19     -03:17:57.819        2  dgb+19 
29    J1650-1654  mld+96     J1650-1654    mld+96     16:50:27.1694        7  dgb+19     -16:54:42.282       20  dgb+19 
30    B1700-18    vl72       J1703-1846    vl72       17:03:51.0915        2  dgb+19     -18:46:14.845        6  dgb+19 
31    B1732-07    ll76       J1735-0724    ll76       17:35:04.9730        1  dgb+19     -07:24:52.130        1  dgb+19 
32    B1738-08    mlt+78     J1741-0840    mlt+78     17:41:22.5629        1  dgb+19     -08:40:31.711        1  dgb+19 
33    B1753+52    dtws85     J1754+5201    dtws85     17:54:22.9068        1  dgb+19     +52:01:12.244        1  dgb+19 
34    B1818-04    vlw69      J1820-0427    vlw69      18:20:52.5934        1  dgb+19     -04:27:37.712        2  dgb+19 
35    B1831-03    dls72      J1833-0338    dls72      18:33:41.8945        1  dgb+19     -03:39:04.258        1  dgb+19 
36    B1839+56    skk+80     J1840+5640    skk+80     18:40:44.5372        1  dgb+19     +56:40:54.852        1  dgb+19 
37    J1901-0906  lml+98     J1901-0906    lml+98     19:01:53.0087        3  dgb+19     -09:06:11.146       10  dgb+19 
38    B1910+20    dls73      J1912+2104    dls73      19:12:43.3391        1  dgb+19     +21:04:33.926        1  dgb+19 
39    B1911+13    ht74       J1913+1400    ht74       19:13:24.3527        1  dgb+19     +14:00:52.559        1  dgb+19 
40    B1915+13    smb71      J1917+1353    smb71      19:17:39.7864        1  dgb+19     +13:53:57.077        1  dgb+19 
41    B1917+00    dls72      J1919+0021    dls72      19:19:50.6715        1  dgb+19     +00:21:39.722        2  dgb+19 
42    B1935+25    dtws85     J1937+2544    dtws85     19:37:01.2544        1  dgb+19     +25:44:13.436        1  dgb+19 
43    B2003-08    mlt+78     J2006-0807    mlt+78     20:06:16.3650        1  dgb+19     -08:07:02.167        3  dgb+19 
44    J2010-1323  jbo+07     J2010-1323    jbo+07     20:10:45.9211        1  dgb+19     -13:23:56.083        4  dgb+19 
45    B2043-04    mlt+78     J2046-0421    mlt+78     20:46:00.1730        1  dgb+19     -04:21:26.256        2  dgb+19 
46    B2044+15    mlt+78     J2046+1540    mlt+78     20:46:39.3373        1  dgb+19     +15:40:33.558        1  dgb+19 
47    B2110+27    skk+80     J2113+2754    skk+80     21:13:04.3506        1  dgb+19     +27:54:01.160        1  dgb+19 
48    B2111+46    dl70       J2113+4644    dl70       21:13:24.3295        1  dgb+19     +46:44:08.844        1  dgb+19 
49    J2145-0750  bhl+94     J2145-0750    bhl+94     21:45:50.4588        1  dgb+19     -07:50:18.514        4  dgb+19 
50    B2148+63    dls72      J2149+6329    dls72      21:49:58.7033        2  dgb+19     +63:29:44.277        2  dgb+19 
51    B2148+52    dtws85     J2150+5247    dtws85     21:50:37.7499        1  dgb+19     +52:47:49.556        1  dgb+19 
52    B2210+29    dtws85     J2212+2933    dtws85     22:12:23.3444        1  dgb+19     +29:33:05.411        1  dgb+19 
53    B2224+65    dls73      J2225+6535    dls73      22:25:52.8627        3  dgb+19     +65:35:36.371        1  dgb+19 
54    J2248-0101  mld+96     J2248-0101    mld+96     22:48:26.8859        1  dgb+19     -01:01:48.085        1  dgb+19 
55    B2303+30    lan69      J2305+3100    lan69      23:05:58.3212        1  dgb+19     +31:00:01.281        1  dgb+19 
56    J2317+1439  cnt93      J2317+1439    cnt93      23:17:09.2364        1  dgb+19     +14:39:31.265        1  dgb+19 
57    B2315+21    dth78      J2317+2149    dth78      23:17:57.8419        1  dgb+19     +21:49:48.019        1  dgb+19 
58    B2323+63    dth78      J2325+6316    dth78      23:25:13.3196        2  dgb+19     +63:16:52.362        1  dgb+19 
59    J2346-0609  mld+96     J2346-0609    mld+96     23:46:50.4978        1  dgb+19     -06:09:59.899        2  dgb+19 
60    B2351+61    dbtb82     J2354+6155    dbtb82     23:54:04.7830        1  dgb+19     +61:55:46.845        1  dgb+19 
61    J1012+5307  nll+95     J1012+5307    nll+95     10:12:33.438234     12  abb+18     +53:07:02.28278     14  abb+18
62    B1534+12    wol91a     J1537+1155    wol91a     15:37:09.961730      3  fst14      +11:55:55.43387      6  fst14      
