psr_name, ra_str, ra_err, dec_str, dec_err, pos_epoch
J0007+7303, 00:07:00.6, 0.2, +73:03:07.0, 0.6, 54952
J0357+3205, 03:57:52.5, 0.2, +32:05:25, 6, 54946
J0633+0632, 06:33:44.21, 0.02,  +06:32:34.9, 1.6, 54945
J1124-5916, 11:24:39.0, 0.1, -59:16:19, 0.01, 54683.281414
J1418-6058, 14:18:42.7, 0.1, -60:57:49, 2, 54944
J1459-6053, 14:59:29.99, 0.06, -60:53:20.7, 0.4, 54935
J1732-3131, 17:32:33.54, 0.03, -31:31:23, 2, 54933
J1741-2054, 17:41:57.23, 0.05, -20:53:57, 19, 54933
J1809-2332, 18:09:50.31, 0.06, -23:33:35, 51, 54935
J1813-1246, 18:13:23.77, 0.01, -12:45:59.2, 1.5, 54954.309848738
J1826-1256, 18:26:08.53, 0.01, -12:56:33.0, 0.5, 54934
J1836+5925, 18:36:13.69, 0.02, +59:25:30.0, 0.3, 54935
J1907+0602, 19:07:54.74, 0.01, +06:02:16.9, 0.3, 54935
J1958+2846, 19:58:40.07, 0.03, +28:45:54, 1, 54800
J2021+4026, 20:21:29.99, 0.03, +40:26:45.1, 0.7, 54936
J2032+4127, 20:32:13.25, 0.01, +41:27:24.8, 0.3, 54938
J2238+5903, 22:38:28.27, 0.04, +59:03:40.8, 0.4, 54800
