psr_name, pos_epoch, ra_str, dec_str, pmra_str, pmdec_str, plx_str, 
J0613-0200, 50315.0, 06:13:43.97336(2), -02:00:47.0970(7), 2.0(4), -7(1), , 
J1045-4509, 50277.0, 10:45:50.1927(1), -45:09:54.195(1), -5(2), 6(1), , 
J1455-3330, 50239.0, 14:55:47.9618(3), -33:30:46.350(7), 5(6), 24(12), , 
J1603-7202, 50427.0, 16:03:35.68523(5), -72:02:32.6517(5), -3.5(3), -7.8(5), , 
J1643-1224, 50288.0, 16:43:38.15583(4), -12:24:58.720(4), 3(1), -8(5), , 
J1911-1114, 50458.0, 19:11:49.2927(2), -11:14:22.33(2), -6(4), -23(13), , 
J2129-5721, 5044.0, 21:29:22.7539(3), -57:21:14.093(2), 7(2), -4(3), , 
J2145-0750, 50317.0, 21:45:50.46813(4), -07:50:18.361(2), -9.1(7), -15(2), , 
J0711-6830, 50425.0, 07:11:54.21813(6), -68:30:47.5793(4), -15.7(5), 15.3(6), , 
J1024-0719, 50456.0, 10:24:38.7040(1), -07:19:18.849(3), -41(2), -70(3), , 
J1730-2304, 50320.0, 17:30:21.6483(4), -23:04:31.4(1), 20.5(4), 0(0), , 
J1744-1134, 50331.0, 17:44:29.390605(6), -11:34:54.5716(7), 18.64(8), -10.3(5), , 
J2124-3358, 50288.0, 21:24:43.86194(6), -33:58:44.257(1), -14(1), -47(1), , 
