id,name,nref,raj,rajerr,raref,decj,decjerr,dref,pmra_radio,pmraerr,prref,pmdec_radio,pmdecerr,pdref,px,pxerr,pxref,posepoch,poseref,p0,p0err,p0ref,p1,p1err,p1ref,dm,dmerr,dmref,dist,pb,pberr,pbref,survey,surveyref,BinComp,BinCompref,Type,TypeRef,Assoc,raj_now,decj_now
8,J0024-7204ab,phl+16,6.034006249999999,0.0005,frk+17,-72.07988944444445,0.0005,frk+17,4.2,0.6,frk+17,-2.9,0.5,frk+17,,0.0,,51600.0,frk+17,0.0037046394947985,6e-16,frk+17,9.82e-21,9e-24,frk+17,24.37,0.02,frk+17,2.54,,0.0,,misc,,,,"GC:47Tuc,XRS:[bhc+17]",,,6.034006072724162,-72.0798893220397
9,B0021-72C,mld+90,5.959810833333333,0.0001,frk+17,-72.075418,0.0001,frk+17,5.2,0.1,frk+17,-3.1,0.1,frk+17,,0.0,,51600.0,frk+17,0.0057567799955163,1.4e-16,frk+17,-4.9850299999999994e-20,2e-24,frk+17,24.5955,0.0008,zhm+19,4.69,,0.0,,pksgc,,,,"GC:47Tuc,XRS:[bgh+06]",,,5.959810613848963,-72.07541786915355
10,B0021-72D,mlr+91,6.057837166666666,6e-05,frk+17,-72.07884788888889,6e-05,frk+17,4.24,0.07,frk+17,-2.24,0.05,frk+17,,0.0,,51600.0,frk+17,0.0053575732848657,9e-17,frk+17,-3.422e-21,9e-25,frk+17,24.7432,0.0009,zhm+19,4.69,,0.0,,pksgc,,,,"GC:47Tuc,XRS:[bgh+06]",,,6.057836987702488,-72.07884779434178
11,B0021-72E,mlr+91,6.046271999999999,5e-05,frk+17,-72.08893033333332,5e-05,frk+17,6.15,0.03,frk+17,-2.35,0.06,frk+17,,0.0,,51600.0,frk+17,0.0035363291527624,4e-17,frk+17,9.851029999999999e-20,6e-25,frk+17,24.236,0.002,frk+17,4.69,2.2568483,9e-07,frk+17,pksgc,,,,"GC:47Tuc,XRS:[bgh+06]",,,6.046271740417524,-72.08893023414328
12,B0021-72F,mlr+91,6.016064458333333,0.0001,frk+17,-72.07856063888889,0.0001,frk+17,4.52,0.08,frk+17,-2.5,0.05,frk+17,,0.0,,51600.0,frk+17,0.0026235793525126,4e-17,frk+17,6.45029e-20,6.9999999999999995e-25,frk+17,24.382,0.005,frk+17,4.69,,0.0,,pksgc,,,,"GC:47Tuc,XRS:[bgh+06]",,,6.0160642675507665,-72.07856053336756
13,B0021-72G,rlm+95,6.033167916666667,0.0001,frk+17,-72.07769527777778,0.0001,frk+17,4.5,0.1,frk+17,-2.9,0.1,frk+17,,0.0,,51600.0,frk+17,0.0040403791435651,1.4e-16,frk+17,-4.2158399999999996e-20,1.7e-24,frk+17,24.436,0.004,frk+17,4.69,,0.0,,pksgc,,,,"GC:47Tuc,XRS:[bgh+06]",,,6.03316772672827,-72.07769515537304
14,B0021-72H,mlr+91,6.02793,0.0002,frk+17,-72.06855741666666,0.0002,frk+17,5.1,0.2,frk+17,-2.8,0.2,frk+17,,0.0,,51600.0,frk+17,0.0032103407093503,1.1e-16,frk+17,-1.8294e-21,1.0999999999999998e-24,frk+17,24.369,0.008,frk+17,4.69,2.357696895,1e-08,frk+17,pksgc,He[fck+03],,,"GC:47Tuc,XRS:[bgh+06]",,,6.027929784736482,-72.06855729848277
15,B0021-72I,mlr+91,6.033061249999999,0.0002,frk+17,-72.07768930555555,0.0002,frk+17,5.0,0.2,frk+17,-2.1,0.2,frk+17,,0.0,,51600.0,frk+17,0.0034849920616628,1.3e-16,frk+17,-4.5874e-20,2.9999999999999996e-24,frk+17,24.43,0.01,frk+17,4.69,0.2297922489,4e-10,frk+17,pksgc,UL[fck+03],,,"GC:47Tuc,XRS:[bgh+06]",,,6.033061038957335,-72.07768921691762
16,B0021-72J,mlr+91,5.997532083333334,0.0001,frk+17,-72.06633077777778,0.0001,frk+17,5.27,0.06,frk+17,-3.59,0.09,frk+17,,0.0,,51600.0,frk+17,0.0021006335453524,5e-17,frk+17,-9.7917e-21,9e-25,frk+17,24.5932,0.0001,zhm+19,4.69,0.12066493772,1.3e-10,frk+17,pksgc,UL[fck+03],,,"GC:47Tuc,XRS:[bgh+06]",,,5.997531860894369,-72.06633062624914
17,B0021-72L,rlm+95,6.015717083333333,0.0003,frk+17,-72.08247861111111,0.0003,frk+17,4.4,0.2,frk+17,-2.4,0.2,frk+17,,0.0,,51600.0,frk+17,0.0043461679994616,4e-16,frk+17,-1.22045e-19,4e-24,frk+17,24.4,0.01,frk+17,4.69,,0.0,,pksgc,,,,"GC:47Tuc,XRS:[bgh+06]",,,6.015716897615789,-72.08247850981064
