psr_name, pos_epoch, ra_str, dec_str, pmra_str, pmdec_str, plx_str, 
J0711-6830, 49800, 07:11:54.22579(15), -68:30:47.5989(7), -15.55(8), 14.23(7), 0(0), 
J1024-0719, 53000, 10:24:38.68846(3), -07:19:19.1700(10), -35.3(2), -48.2(3), 0(0), 
J1730-2304, 53300, 17:30:21.6611(3), -23:04:31.29(8), 20.27(6), 0(0), 0(0), 
J1744-1134, 53742, 17:44:29.403209(4), -11:34:54.6606(2), 18.804(15), -9.40(6), 2.4(2), 
J1824-2452, 54219, 18:24:32.00796(2), -24:52:10.824(6), 0(0), -9(5), 0(0), 
J1939+2134, 52601, 19:39:38.561297(2), +21:34:59.12950(4), 0.072(2), -0.415(3), 0.13(13), 
J2124-3358, 53174, 21:24:43.85347(3), -33:58:44.6667(7), -14.12(13), -50.34(25), 3.1(11), 
J1022+1001, 53589, 10:22:58.003(3), +10:01:52.76(13), -17.02(14), 0(0), 1.8(6), 
J1600-3053, 53283, 16:00:51.903798(11), -30:53:49.3407(5), -1.06(9), -7.1(3), 0.2(3), 
J1713+0747, 54312, 17:13:49.532628(2), +07:47:37.50165(6), 4.924(10), -3.85(2), 0.94(10), 
J1857+0943, 50481, 18:57:36.392909(13), +09:43:17.2754(3), -2.64(3), -5.46(4), 1.1(4), 
J1909-3744, 53631, 19:09:47.4366120(8), -37:44:14.38013(3), -9.510(7), -35.859(19), 0.79(4), 
J2145-0750, 53040, 21:45:50.46412(3), -07:50:18.4399(14), -9.66(15), -8.9(4), 1.6(5), 
J0613-0200, 53114, 06:13:43.975142(11), +10:01:52.76(13), 1.84(8), -10.6(2), 0.8(7), 
J1045-4509, 53050, 10:45:50.18951(5), -30:53:49.3407(5), -6.0(2), 5.3(2), 3.3(38), 
J1603-7202, 53024, 16:03:35.67980(4), +07:47:37.50165(6), -2.52(6), -7.42(9), 0(0), 
J1643-1224, 49524, 16:43:38.15544(8), +09:43:17.2754(3), 5.99(10), 4.1(4), 2.2(7), 
J1732-5049, 53300, 17:32:47.76686(4), -37:44:14.38013(3), 0(0), -9.3(7), 0(0), 
J2129-5721, 54000, 21:29:22.76533(5), -07:50:18.4399(14), 9.35(10), -9.47(10), 1.9(17), 
